HGNCsymbol,ChromosomeName,GeneStart,GeneEnd
NBPF22P,5,85578278,85592281
ZBED1P1,4,111212800,111214729
RNU1-82P,7,141427784,141427948
PPP1R26P5,22,21695884,21699547
TAS2R6,7,141487615,141488440
RPL7L1P13,4,111320929,111321667
C21orf59,21,33964389,33985176
ZNF969P,4,111337054,111339660
CCL1,17,32687347,32690250
RPL23AP7,2,114368079,114384667
GABRG3,15,27216429,27778373
MTND2P5,7,141502282,141503287
CECR6,22,17597189,17602257
TDH,8,11197146,11225961
MIR5680,8,103137660,103137743
RN7SKP63,22,21743480,21743780
MIR4279,5,31936208,31936265
RNU6-957P,6,111043453,111043551
MAST4-IT1,5,65958159,65958816
RNU6-1115P,6,111177620,111177725
MAST4-AS1,5,66297211,66299781
STAMBPL1,10,90639491,90734910
CNN2P9,6,111179442,111180350
WASH4P,16,64043,69452
LY6G5B,6,31637944,31641553
PTK2,8,141667999,142012315
OR4C4P,11,48366900,48373999
RNA5SP202,6,4428197,4428315
RNU6-321P,11,125147448,125147553
MRPS18BP2,2,140426116,140426874
PIF1,15,65107831,65117867
RNU2-20P,3,168192986,168193176
STT3A-AS1,11,125440180,125462473
MIR551B,3,168269642,168269737
TLR2,4,154622652,154626851
RN7SL830P,2,85759467,85759749
HSPE1P5,16,68720302,68720573
B3GALNT1,3,160801671,160823172
PNPLA1,6,36210980,36276372
LAMB4,7,107663993,107770801
MIR532,X,49767754,49767844
RN7SL825P,10,32281018,32281309
MIR297,4,111781738,111781803
C17orf102,17,32901142,32906388
RPL21P43,3,168576447,168576918
MIR188,X,49768109,49768194
RN7SL126P,2,85794787,85795083
OR4C2P,11,48441762,48442825
RNU6-1156P,11,125444615,125444714
RNU7-199P,16,31278758,31278812
CD81-AS1,11,2349979,2399222
LYPLA1P2,4,111866265,111866955
RNA5SP429,16,68776383,68776491
RPS4XP11,10,32391450,32392221
RNU2-35P,11,125519641,125519782
MIR500A,X,49773039,49773122
MRPS22,3,138724648,139076065
SUMO2P19,8,103254268,103254847
GRM1,6,146348782,146758734
MIR362,X,49773572,49773636
FTLP14,16,68856490,68856973
CDKL3,5,133541305,133706738
ADCY10P1,6,41068761,41108571
OR4C10P,11,48453769,48454699
GUCY2EP,11,76405087,76418685
TMEM191C,22,21820712,21825558
RPL26P30,11,2356362,2357006
RNU6-906P,6,111329473,111329579
MIR501,X,49774330,49774413
CYP3A5,7,99245817,99277621
RNU6-289P,4,112252568,112252674
ARHGAP10,4,148653214,148993931
RN7SL283P,2,140740253,140740553
GSTM2P1,6,111368071,111368724
MIR500B,X,49775279,49775357
REREP2Y,Y,28344478,28354295
OR4C9P,11,48485605,48486529
PSMC1P11,6,4702697,4704013
CASP4,11,104813593,104840163
MIR660,X,49777849,49777945
TMEM9B,11,8968841,8986558
JUND,19,18390563,18392432
RPL19,17,37356536,37360980
MIR502,X,49779206,49779291
OR4R1P,11,48507915,48508377
PYY3,X,49920807,49921019
KCNK7,11,65360326,65363467
TMEM132E,17,32907768,32966337
MTND2P19,2,140975220,140977937
MIR5695,19,13031134,13031218
RNU6-960P,6,111412416,111412535
PPP1R12BP1,Y,28424070,28500565
OR4A48P,11,48513578,48513968
RNU1-38P,2,85955317,85955460
RNU6-898P,16,69040955,69041058
RNU6-1079P,5,32234872,32234981
RNU6-378P,5,32309768,32309874
OR4A46P,11,48517900,48518832
C11orf31,11,57508825,57510986
RPS2P45,16,69067578,69069945
MTND1P27,2,140978153,140979054
CCDC34P1,4,112989166,112989682
HNRNPA1,12,54673977,54680872
IL22RA2,6,137464968,137494785
MIR579,5,32394484,32394581
OR4A40P,11,48533825,48534772
RNU6-22P,16,69209574,69209680
TUBB8P3,4,112998754,112999556
P2RY8,X,1581465,1656000
RNF175,4,154631277,154681387
ATP12A,13,25254549,25285921
FCF1P5,6,111674905,111675386
OR4A43P,11,48547616,48548523
PLD1,3,171318195,171528740
SCRN3,2,175260458,175294303
HSPA8P20,X,123338349,123339656
DGKK,X,50108408,50213737
REV3L-IT1,6,111681844,111682810
RNU6-904P,2,141924826,141924926
EN1,2,119599747,119605254
OR4A45P,11,48600988,48601888
BRD7P4,6,111751463,111752984
MIR1538,16,69599711,69599771
RMRPP2,6,5045818,5046335
RN7SKP83,2,86047558,86047735
LSM4,19,18417040,18434084
CYP2A6,19,41349443,41356352
TRMT2B-AS1,X,100298553,100349465
OR4A41P,11,48611312,48612239
TSPEAR-AS1,21,45926690,45935738
AATK,17,79091095,79139877
OR4A42P,11,48631615,48632552
FBL,19,40325098,40337054
MIR3691,6,5148467,5148556
PHLDA2,11,2949503,2950685
TRAF3IP2-AS1,6,111804714,111919505
OR4A44P,11,48649098,48650045
TREML3P,6,41176292,41190382
SLC22A25,11,62931248,62997124
RPL21P75,7,20042346,20042909
RNU7-59P,11,77277979,77278039
SH2B1,16,28857921,28885526
RNU6-1026P,1,51048076,51048183
AACS,12,125549925,125627873
PCMT1,6,150070579,150132556
RNU6-1253P,1,51215968,51216025
CCDC163P,1,45959538,45965751
RSF1-IT2,11,77428757,77429456
PHBP12,1,51246012,51246822
MACC1-AS1,7,20181539,20193154
FTH1P16,11,77445520,77446071
PNISR,6,99845927,99873207
PSMD5-AS1,9,123587106,123616651
MTND6P11,2,143851802,143852284
NOS1,12,117645947,117889975
MIR3607,5,85916323,85916385
MTND5P24,2,143852358,143854124
TBC1D9,4,141541919,141677274
AKAP17A,X,1710486,1721407
IMMTP1,21,46095785,46098003
SNORD94,2,86362993,86363129
POLR3K,16,96407,103628
HNRNPA1P37,6,5609460,5610428
RNA5SP207,6,41207258,41207364
TREML5P,6,41215107,41217387
MTND4P22,2,143854408,143855576
MRPS6P2,1,51312140,51312509
KIR3DL2,19,55361898,55378662
SUMO2P16,8,30989055,30989318
VN1R96P,19,40627218,40628075
KRTAP10-13P,21,46122136,46122706
ST8SIA2,15,92937058,93011958
RNU6-804P,5,85958961,85959067
MIR4421,1,51525509,51525577
RNU6-643P,6,41270204,41270310
STSP1,Y,17659096,17705211
MIR140,16,69966984,69967083
CFL1P2,1,51623460,51624143
HILS1,17,48248789,48258539
RN7SL602P,2,35034320,35034623
MIR641,19,40788450,40788548
RNU6-945P,19,40805385,40805491
TRIM51CP,11,48967246,48973447
RN7SKP285,1,104066184,104066501
MTND3P9,2,143856053,143856398
ITGB2-AS1,21,46340966,46349593
ACTG1P4,1,104112175,104113296
RN7SL758P,19,41112673,41112955
HNRNPCP5,1,13182960,13184326
MIR4779,2,86420149,86420231
RNU6-195P,19,41213960,41214068
CCDC24,1,44457031,44462200
CYP2T2P,19,41314430,41317295
PDXDC2P,16,70010200,70099851
VN1R64P,16,31558126,31559058
MIR548AD,2,35696471,35696552
GRAMD3,5,125695824,125832186
NPM1P34,X,123414380,123415272
RN7SL221P,6,5918793,5919077
BTN2A2,6,26383324,26395102
ERMP1,9,5765076,5833117
CYP2F2P,19,41324626,41332677
TAS2R40,7,142919130,142920162
RNU6-1226P,6,112517642,112517748
PKMP5,6,5972645,5974245
RNU6-1117P,2,35696671,35696774
SUMO2P7,17,48313206,48313490
NBPF15,1,148555979,148596267
SNRNP25,16,103010,107669
AMYP1,1,104256345,104262493
KPNB1,17,45726842,45762871
MIR4641,6,41566461,41566526
C1orf50,1,43232940,43263968
RNU6-640P,2,86742327,86742431
NPM1P51,6,41634644,41635387
CYP2G1P,19,41396731,41406413
RPL21P106,12,92562176,92562653
CCDC61,19,46498339,46524576
RNA5SP261,8,31455615,31455720
C6orf62,6,24705089,24721064
RN7SL181P,9,123965437,123965712
MAP3K11,11,65365226,65382853
PI4KAP2,22,21827289,21871822
FAM24B,10,124608594,124639157
MIR5683,6,6169567,6169642
FOXN3-AS1,14,89883698,89886137
RTEL1P1,4,113277291,113280975
MRPL50P1,2,35949825,35950208
NRG1-IT1,8,31883735,31996991
MUC5AC,11,1151580,1222364
PGPEP1,19,18451397,18480760
RNU6-877P,1,51847980,51848086
LY86-AS1,6,6346698,6623004
RNU6-923P,5,33888161,33888267
RNU6ATAC8P,8,103433425,103433550
HSPE1P14,8,103463991,103464711
RPS12P15,8,103515981,103516365
RNU6-771P,1,13384735,13384841
PPM1B,2,44395108,44471523
RNU6-1281P,1,52004297,52004401
TOX4P1,4,113377080,113378941
KRT18P65,6,112682639,112684039
PPFIA4,1,202995626,203047868
FAM136A,2,70523107,70529222
CAP1,1,40505905,40538321
NRG1-IT2,8,32028898,32145082
CALR4P,1,52027538,52060569
RNU6-761P,6,41986146,41986252
RNU6-1224P,8,103545469,103545567
NAP1L1P1,11,125937434,125938496
GSN-AS1,9,124043046,124047808
POU5F1P2,8,103633737,103634559
FEM1AP3,6,112686906,112688646
MIR5192,2,62432961,62433052
FTLP17,1,104695928,104696452
MTND1P3,7,141503501,141504452
RNA5SP262,8,32049544,32049669
RN7SL51P,2,62489524,62489806
RPL38P3,4,55842326,55842538
OCA2,15,28000021,28344504
REXO1L1P,8,86568695,86575726
MIR765,1,156905923,156906036
MYL6P4,7,141511605,141512057
RNU6-577P,2,37094541,37094638
RN7SL612P,1,156955549,156955841
RNA5SP263,8,32114012,32114139
RNU6-410P,4,55898132,55898238
KCNAB1,3,155755490,156256545
RNU6-890P,6,42631900,42632006
GAD1,2,171669723,171717661
NRG1-IT3,8,32298262,32300241
RNU6-846P,2,37186505,37186605
ZEB2-AS1,2,145275664,145279058
ATP6V0CP3,6,42694972,42695438
REXO1L11P,8,86747543,86749570
OR9A3P,7,141562660,141563537
RN7SL18P,2,62718313,62718601
RN7SL424P,4,55929902,55930196
SNAPC5P1,6,6347314,6347614
REXO1L10P,8,86756718,86758745
KRT8P45,1,157043049,157044495
RN7SL822P,4,56081793,56082079
PHKG1P1,7,62693413,62694623
OR9A1P,7,141586948,141587892
RNU4-86P,11,126084155,126084373
CNN3P1,6,6534930,6535864
RN7SL351P,11,126114930,126115175
RNU6-1163P,6,113292695,113292801
RN7SKP34,5,86398420,86398663
RPL35AP26,11,126148152,126148472
CASP5,11,104864962,104893895
FCF1P10,6,113332139,113332617
MTND4LP1,X,125606711,125606867
GSTK1,7,142941186,142967947
MIR4280,5,86410696,86410771
ATP6V0D2,8,86999552,87166457
SDHAP3,5,1568637,1594735
OR9N1P,7,141611017,141611743
RNU6-746P,4,56160657,56160765
RPL24P4,6,42924083,42924503
ASMT,X,1733894,1761974
RPSAP37,5,125302470,125303778
RNU6-663P,8,32769011,32769116
SOCS5P5,6,113543368,113545274
RN7SL452P,14,51104412,51104699
MRPS21P9,17,48527540,48528086
BTF3P7,6,6795148,6795635
SEPT7P4,7,62701968,62708699
FCF1P8,4,56217979,56218575
RPL5P24,8,103935599,103936483
RN7SL629P,5,86590008,86590290
MOXD2P,7,141940559,141946886
KIRREL3-AS1,11,126413842,126480843
TRIM51GP,11,48997053,49003247
CYCSP52,1,157098154,157098463
RN7SL403P,6,43003936,43004238
CYP2B7P,19,41430124,41456565
GGTA1P,9,124207269,124262306
MTND4P24,X,125606868,125607264
KIF6,6,39297766,39693181
SEPT2P1,1,106240661,106240840
PSAT1P2,2,62779598,62780569
SNORA77,1,203698709,203698833
RN7SL554P,6,6938835,6939130
GAPDHP51,1,52172810,52173809
GRID1,10,87359312,88126250
TRIM53CP,11,49007423,49013433
ZNF733P,7,62751896,62764434
NPM1P52,8,104028972,104029817
ANAPC1P1,2,87098424,87149816
SRD5A3-AS1,4,56230138,56262014
CACNA1G-AS1,17,48633568,48639469
RNU6-963P,5,125888994,125889094
RSL24D1P2,2,62788193,62788558
KIRREL3-AS2,11,126810642,126814986
MTND1P5,8,104097879,104098818
CECR5,22,17618401,17646177
KRT8P29,1,203841702,203843315
OR7E93P,3,125443382,125444288
OR9H1P,1,247938212,247939138
RNU6-939P,2,37558913,37559019
GDF15,19,18485541,18499986
HSPE1P10,5,126073130,126073687
RNU6-1116P,2,37662653,37662751
RPS2P28,6,43331217,43331957
RNA5SP41,1,13949679,13949779
SLC25A6P3,1,52174734,52175612
OR7E53P,3,125453138,125454041
REPIN1,7,150065278,150071133
HSD17B7P1,1,247990788,247991804
UBTFL7,11,49103459,49104649
TEX41,2,145425534,145940216
MTND1P6,8,32871599,32872544
RSF1-IT1,11,77449725,77450613
GFRA4,20,3639939,3644046
NRIP3,11,9002123,9025596
RNU6-934P,X,100580392,100580498
RNU6-752P,5,126091008,126091109
OR6R1P,1,247996651,247997590
MMACHC,1,45965725,45976739
MBD1,18,47793252,47808144
NANOGNBP3,X,100592713,100593277
RNU6-1265P,1,14450728,14450830
HSPE1P6,1,203872851,203873147
MRPS5P3,5,126478774,126478939
RPL21P132,X,100594905,100595922
RNU6-1113P,6,43441924,43442030
OR7E97P,3,125465927,125466941
DEFB113,6,49936390,49937338
RNU4-8P,2,98281054,98281194
HNRNPLP1,6,7481327,7482827
SOWAHD,X,118892576,118894164
MIR761,1,52302013,52302082
HMGN1P36,2,98443711,98444013
CBX1P3,1,203923768,203924908
RN7SL619P,19,13925880,13926133
TSEN15P2,1,52325450,52325807
VDAC1P9,1,157693970,157694810
OR2X1P,1,248102275,248102961
TBCAP2,1,15018625,15019109
MIR24-2,19,13945330,13947173
RN7SKP30,4,56406669,56407002
OR2L9P,1,248138043,248138955
SLC12A5,20,44650356,44688784
MIR548I1,3,125509247,125509395
FAM24A,10,124670217,124672627
MIR27A,19,13947254,13947331
RPL39,X,118920467,118925606
TIAL1,10,121334199,121356541
SFRP2,4,154701744,154710272
RPS3AP14,3,125513949,125514728
MRPS21P2,1,157830987,157831250
OR2L1P,1,248153569,248154506
TIAM2,6,155153831,155578857
RNU6-276P,4,56664802,56664897
DEFB110,6,49976851,49989694
MIR23A,19,13947401,13947473
RNA5SP48,1,52439082,52439207
RNU7-96P,2,98529517,98529580
SCG3,15,51973550,52013223
LINC00303,1,204001575,204010393
MIR181C,19,13985513,13985622
HHIP,4,145567173,145666423
ATP5BP1,2,98822614,98824187
SPDYA,2,29005383,29073477
OR2L6P,1,248166431,248167370
MIR181D,19,13985689,13985825
LINC00211,2,38053390,38103417
RNU6-652P,4,56751761,56751867
TMEM51-AS1,1,15442448,15478960
RNU6-126P,11,77844466,77844568
RN7SL290P,1,52461412,52461709
RHBDF1,16,108058,126354
ANGPTL2,9,129849611,129885162
RNA5SP161,4,56963556,56963670
EEF1DP1,19,14181154,14182052
OR2T32P,1,248246936,248247898
RNU6-197P,4,57154651,57154750
MIR3167,11,126858354,126858438
MRPL22P1,4,57186885,57187500
C6orf222,6,36283534,36304662
TXNDC12-AS1,1,52516590,52518355
MIR3177,16,1784986,1785067
KCTD21-AS1,11,77850817,77886369
DIAPH1,5,140894583,140998622
HNRNPKP1,5,126847156,126848534
RNA5SP162,4,57197343,57197383
PIP5K1P1,6,7986730,7988425
LRRC25,19,18501954,18508427
RN7SL788P,1,52615777,52616089
RPL7AP31,4,57222301,57223098
KIRREL3-AS3,11,126872805,126875953
OR2M1P,1,248285234,248286184
MIR302B,4,113567632,113571207
KIRREL-IT1,1,157995340,158000956
VAV3-AS1,1,108507065,108537229
RN7SL231P,19,14323864,14324131
RMDN2-AS1,2,38177144,38294184
GLDCP1,4,57459170,57461847
HULC,6,8652370,8654079
TYRL,11,49426527,49437299
ARMCX3-AS1,X,100877973,100879154
OR2AS2P,1,248661609,248661929
MIR367,4,113569030,113569097
PDCL3P6,1,52645520,52646225
RN7SL293P,8,11236904,11237200
MIR302D,4,113569160,113569227
CBX3P8,11,49427742,49428266
RN7SL508P,12,119431662,119431956
MIR3151,8,104166842,104166917
MOBP,3,39508689,39570970
PSKH2,8,87060602,87100850
MIR302A,4,113569339,113569407
ELL2P1,1,158145640,158147545
YWHAQP5,2,99310572,99311953
RPL17P20,4,57576226,57576780
MIR302C,4,113569519,113569586
MIR4647,6,44221943,44222022
RNU6-1084P,8,11249920,11250026
OSTCP4,4,113606211,113606659
RPL21P54,5,34883162,34883625
MIR4642,6,44403378,44403459
RN7SL492P,4,57660516,57660808
SLC22A9,11,63137261,63177766
MAP4K4,2,102313312,102511149
RN7SL357P,4,57672000,57672295
RNU6-30P,X,100888994,100889100
OR2AS1P,1,248712745,248713063
DNAJC19P7,1,52717734,52718445
NUDT19P4,6,44866448,44867032
SLC25A24P1,1,108815565,108918572
HMGN1P5,1,158236543,158237110
WRBP1,4,113614615,113614948
CYP1B1-AS1,2,38302791,38408997
RPL6P5,2,146094798,146095625
RNU6-998P,4,57868858,57868958
CHCHD2P6,1,15931077,15931538
PGLYRP1,19,46522411,46526323
RNU6-311P,11,78290300,78290401
UBE2Z,17,46985731,47006418
PRDX1,1,45976708,45988719
MIR586,6,45165411,45165507
UBE2CP3,4,57938849,57939298
SLC37A3,7,139993493,140104233
COPS8P3,11,78292720,78293201
DEFB112,6,50011288,50016364
OR10T1P,1,158414858,158415804
RNU6-587P,X,100946553,100946658
RECQL4,8,145736667,145743229
HRAS,11,532242,537287
SLC30A5,5,68389473,68426896
RNU6-109P,Y,18360815,18360921
LINC00924,15,95976324,96051076
FAM211B,22,24981588,24989175
IGFBP7-AS1,4,57975928,58071676
RN7SL187P,9,124256797,124257097
RNU6-515P,6,45613841,45613912
RNU6ATAC21P,6,10222269,10222394
RNU6-754P,6,45986482,45986588
EI24P2,1,158423988,158425063
RNU7-179P,1,15934573,15934640
AHCYP8,1,248885294,248885502
ANAPC10P1,1,52719293,52719848
RPL30P10,8,58305105,58305441
IFNGR1,6,137518621,137540586
HMGB1P37,9,124282095,124282703
NAP1L4,11,2965667,3013607
RNA5SP74,1,204531541,204531649
LINC00208,8,11433822,11438851
VN1R65P,16,31565426,31566233
RNU4-84P,2,99398873,99399011
FAM124B,2,225243415,225266802
RNU7-46P,2,99457138,99457199
ACTG1P9,6,46172466,46175123
CCDC120,X,48911101,48927509
TFAP2D,6,50681541,50740701
IGFL4,19,46543006,46580376
PCNXL3,11,65383244,65404910
PLA2G12AP1,1,52834349,52834916
CCT2,12,69979114,69995350
RNU7-174P,8,58469144,58469195
RNU6-606P,5,86595504,86595614
RNU2-3P,15,96289033,96289223
SUB1P1,8,11647514,11647897
TFAP2A-AS1,6,10409573,10416679
OR10R3P,1,158461009,158461950
MIR3124,1,249120576,249120642
EEF1GP7,1,53038786,53039488
LINC00487,2,6868309,6910442
CCDC23,1,43272723,43282954
RNA5SP75,1,204676448,204676558
DHRSX,X,2137557,2420846
RPS26P24,4,58219165,58219495
NUDT19P3,6,114340785,114341647
NDUFS5P3,1,53174794,53175114
RNU7-2P,2,146902724,146902785
PCP2,19,7696497,7698634
IL1RN,2,113864791,113891593
ACD,16,67691415,67694713
RPL17P12,2,146951864,146952389
OR10R1P,1,158484575,158485715
RNU6-1205P,1,249206889,249206994
RPSAP43,6,114405332,114405956
RN7SL62P,1,53180071,53180365
RNU6-1314P,Y,28507136,28507239
RNU2-30P,1,53219994,53220134
RNU6-727P,5,86716158,86716264
RNA5SP213,6,114541845,114541950
RNU7-130P,5,35633065,35633126
CYCSP48,Y,28546758,28547377
NBPF5P,1,108918460,108953436
DNAJA1P4,6,114670647,114671812
RNU6-345P,X,101170562,101170668
RNU6-764P,X,151419044,151419148
NR2F2-AS1,15,96670598,96870590
IGFL3,19,46623328,46627931
MIR105-1,X,151560691,151560771
PABPC1P2,2,147345012,147346878
LINC00518,6,10429488,10435107
RNU6-969P,1,53270780,53270884
HNRNPA1P50,12,93277549,93278476
ETAA1,2,67624451,67637677
MIR767,X,151561893,151562001
RNU6-1329P,12,93346415,93346521
OR6K1P,1,158664329,158665299
TTLL11-IT1,9,124646915,124725998
MIR105-2,X,151562884,151562964
RNU6-390P,5,157006505,157006607
RNU6-475P,6,115188037,115188140
ARHGAP27,17,43471275,43511787
CYP2A7,19,41381344,41388657
ADAM33,20,3648612,3662893
SNRPGP10,1,205320375,205320599
MIR580,5,36147994,36148090
MIR1273F,1,53394346,53394444
MIR4478,9,124882361,124882446
RNU6-1305P,5,36155221,36155324
KRT8P8,X,151648049,151649496
MIR5095,1,53400602,53400689
OR6K4P,1,158693903,158694902
DCHS2,4,155153399,155412930
LEMD1-AS1,1,205342380,205356568
OR7E158P,8,11777409,11778318
NADK2-AS1,5,36221157,36222004
MIR1273G,1,53405986,53406085
RNU6-692P,2,148165910,148166016
SLC25A24P2,1,108926358,108963917
SYNE2,14,64319683,64693165
RN7SL227P,9,125061389,125061642
RNA5SP181,5,36485445,36485542
VASH1,14,77228532,77249354
MIR135B,1,205417430,205417526
MARCO,2,119699742,119752236
OR6K5P,1,158711936,158713205
TPI1P3,6,116359919,116360658
RNU6-715P,2,148253006,148253108
PTPN20B,10,48736874,48827966
MIR5689,6,10439950,10440027
SYNJ1,21,34001069,34100359
RNA5SP106,2,148471024,148471123
RN7SKP116,6,47683019,47683337
MRPL48P1,6,10460139,10460774
BTBD18,11,57510986,57519253
MIR4277,5,1708900,1708983
ERAP2,5,96211643,96255420
TBC1D3P6,1,16316366,16321246
ST13P21,1,109044980,109046077
HOXC-AS1,12,54392806,54393794
RNU2-19P,1,205535844,205535927
TUBBP10,1,53460398,53461698
OR2AQ1P,1,158765804,158766003
LINC00163,21,46409779,46414001
RNU6-418P,1,205564169,205564275
RNU6-1275P,2,148634991,148635097
NIP7P3,6,116458221,116458735
RNU6-951P,2,38374557,38374663
RAB32,6,146864829,146876101
ZBED1,X,2404455,2419008
COX18,4,73921797,73935472
OR10AA1P,1,158778189,158779125
RPL7AP30,4,113709239,113710034
OR11H12,14,19377522,19378606
NACAP3,12,93517839,93518319
RNU6-744P,2,114438688,114438794
LINC00162,21,46419122,46424642
CASC2,10,119805790,119969663
MIR4782,2,114478867,114478945
HIGD1AP11,1,53538782,53539061
RNU6-260P,5,157236106,157236212
RPL7P12,2,38458710,38459459
SPATA42,1,109399839,109401146
RNU1-105P,6,47791126,47791286
KRT18P31,5,36885308,36886599
SSR4P1,21,46491648,46494080
RNF150,4,141780961,142134031
HNRNPA3P4,6,48116939,48117741
PIWIL3,22,25115001,25170687
TMEM161B-AS1,5,87564712,87732502
MORF4,4,174537087,174538057
RNU2-9P,2,149583260,149583404
UBBP3,2,149621133,149621373
NACA,12,57106212,57125412
RASGRP2,11,64494383,64512928
GAPDHP25,2,38512552,38513552
RNA5SP203,6,10753024,10753159
RN7SKP121,11,127275923,127276227
SNRPGP15,19,14599758,14600691
SLC6A9,1,44457172,44497139
RAD1P2,1,159050923,159051585
RANP6,4,174554879,174555522
RN7SKP279,11,127277746,127278043
LINC00334,21,46654255,46678645
PRSS3P3,7,141987080,141991423
ERMAP,1,43282795,43310660
RNU6-883P,10,75288809,75288915
POTEG,14,19553365,19590078
MTND2P32,8,32872779,32874561
MIR1469,15,96876490,96876536
RNA5SP60,1,159148263,159148349
CSAG3,X,151876743,151883038
MIR639,19,14640355,14640452
RPS4XP6,5,37085158,37085954
RN7SL337P,19,14694907,14695204
RNU2-48P,5,157403774,157403964
ELOVL2-AS1,6,11043757,11078459
ARHGEF19-AS1,1,16524349,16524852
RN7SL842P,19,14699169,14699465
MARK2P11,5,157411666,157416998
ITGB1P1,19,14732446,14733054
RBMXP1,6,48181340,48182530
TRBV1,7,141999017,141999300
RANP9,8,32897041,32897311
CBX3P9,6,116774177,116774728
RN7SL863P,3,62781801,62782094
TRBV7-5,7,142157378,142157849
RNU6-139P,3,62800057,62800166
ANO7P1,1,16542404,16554522
KRT18P22,6,116778486,116779832
TRBV12-2,7,142190638,142191080
TRBV11-2,7,142197570,142198069
OR1H1P,9,125370315,125371079
RPS21,20,60962172,60963576
MPTX1,1,159246293,159247282
RN7SL367P,16,1944686,1944937
RN7SL184P,4,114340996,114341290
STXBP2,19,7701767,7712759
LINC01104,2,100824716,100867946
TXNP5,2,149925110,149925424
SNORA10,16,2012335,2012467
RNU1-138P,4,114341479,114341642
OR7A18P,19,14997651,14997927
SCUBE2,11,9041071,9159661
SNORA64,16,2012974,2013107
FAM8A3P,2,150177107,150177950
RNF144A-AS1,2,7052408,7058840
LYSMD2,15,52015208,52043782
RNU6-528P,8,33196385,33196484
SGCA,17,48241575,48253292
OR7A1P,19,15002707,15003616
YBX3P1,16,31579707,31580796
FOXN3-AS2,14,90042560,90043821
SRGAP2-AS1,1,206552219,206554954
OFD1P17,5,37209466,37212483
RANP5,1,109589450,109590104
C1D,2,68268262,68338080
STAC2,17,37366789,37382125
SNHG9,16,2014960,2015510
RPS29P13,6,117369833,117370001
RN7SL37P,5,37246277,37246581
ZNF720P1,16,31612914,31614852
KIAA0895,7,36363830,36429734
RN7SKP107,14,90088262,90088551
RNU1-64P,6,11503742,11503904
RNU7-75P,5,37327237,37327298
PRKRIRP5,6,11514425,11516699
ANKRD36P1,Y,28555962,28566682
RNU7-65P,6,49312460,49312521
OR10J2P,1,159248831,159249791
RN7SKP255,14,90178855,90179167
TLK1P1,9,125448212,125450651
RNU6-601P,2,150467182,150467288
RNA5SP214,6,117381845,117381962
CHORDC2P,14,90203309,90204735
MIR615,12,54427734,54427829
SCARNA2,1,109642815,109643241
RN7SKP18,6,117620527,117620801
EEF1A1P42,6,49325859,49328093
RIOK3,18,21032787,21066567
RN7SKP51,6,117622618,117622921
RNU6-1190P,5,37620087,37620190
CNOT8,5,154237113,154256353
CD99,X,2609220,2659350
DEK,6,18224099,18265054
MCRS1,12,49950327,49961936
SLC25A3P1,1,53878821,53905693
MT1XP1,1,16567708,16567893
RNU6-184P,Y,18448163,18448269
RNU7-122P,1,109750416,109750470
NBPF16,1,148739443,148758311
VN1R66P,16,31659628,31660543
MIR4276,4,175344946,175345015
RAB42P1,14,90358132,90358788
SNORD13,8,33370993,33371096
PRAF2,X,48928813,48931730
RNU6V,1,110134156,110134262
RBM22P12,16,31692168,31693422
TPTE2P4,Y,28654360,28725837
OR10J7P,1,159320883,159321816
SEPHS1P7,2,115017627,115018803
SUMO2,17,73163408,73179078
RN7SL219P,16,2063182,2063475
RNU6-484P,5,37700433,37700539
CSAG4,X,151895976,151903136
MIR197,1,110141515,110141589
MIR1225,16,2140196,2140285
HSP90AB1,6,44214824,44221620
HRASLS5,11,63228876,63258666
GDNF-AS1,5,37840540,37875901
RPL7P8,1,110193992,110194721
RNU6-253P,6,117778897,117779001
RPL21P11,14,90833041,90833523
RNU7-95P,1,54154422,54154485
NEPNP,6,117954869,117966250
MYOG,1,203052260,203055164
RPLP0P6,2,38708920,38710012
RNF17,13,25338290,25454059
CYCSP49,Y,28695572,28695890
OR10J8P,1,159335951,159336879
TSPY6P,Y,9324922,9327689
RNU4-50P,8,59726971,59727111
SKA2P1,9,125524123,125524512
C4BPAP1,1,207338841,207357255
CYP2AC1P,6,49533637,49547879
RNU2-41P,2,115177702,115177879
RNU7-22P,10,32462612,32462672
DPP10-AS3,2,115586009,115591125
SLC25A15P1,Y,28732789,28737748
PPIAP31,10,32477251,32477745
AKR1A1,1,46016215,46035721
HNRNPA3P12,1,54440642,54441704
RN7SL621P,8,33437730,33438026
CLUHP3,16,31711911,31721097
NDUFA5P10,1,110353264,110353620
LINC00642,14,90921574,90925249
DPP10-AS2,2,115591407,115593165
SUMO2P12,6,12319685,12319824
RPS24P13,10,32520777,32521173
TRIM54,2,27505260,27530307
BRD7P3,6,118822593,118824069
CROCCP3,1,16793931,16825752
MIR4516,16,2183120,2183205
RNU6-1232P,5,67454889,67454974
MIR3180-5,16,2185978,2186130
TGFA,2,70674412,70781325
EEF1B2P2,5,67455046,67455721
RN7SKP293,6,12406718,12407013
OR7E161P,8,11786101,11787072
DPP10-AS1,2,115888512,115918920
KCNQ1OT1,11,2629558,2721224
KRT18P67,9,125599836,125601099
SSXP10,6,118910233,118910797
RPL15P3,6,12514342,12515006
MIR4781,1,54519752,54519827
GARNL3,9,129986544,130155939
PARP4P1,Y,28740998,28780799
COX6CP18,11,2792586,2792807
CSAG2,X,151922445,151928738
RPL7AP72,X,127447259,127448026
