"symbol","official.symbol"
"bA145E20.5","FAM25HP"
"FAM26D","FAM26D"
"C6orf78","FAM26D"
"FLJ32239","FAM26D"
"FAM26E","FAM26E"
"C6orf188","FAM26E"
"dJ493F7.3","FAM26E"
"MGC45451","FAM26E"
"FAM26F","FAM26F"
"C6orf187","FAM26F"
"RP1-93H18.5","FAM26F"
"OTTHUMP00000017061","FAM26F"
"OTTHUMP00000017062","FAM26F"
"dJ93H18.5","FAM26F"
"FAM27A","FAM27A"
"bA7G23.5","FAM27A"
"FAM27A1","FAM27A"
"FAM27B","FAM27B"
"bA12A20.3","FAM27B"
"FAM27A2","FAM27B"
"FAM27C","FAM27C"
"bA374M1.5","FAM27C"
"FAM27A3","FAM27C"
"FAM27D1","FAM27D1"
"OTTHUMG00000013267","FAM27D1"
"FAM27E1","FAM27E1"
"FAM27E2","FAM27E2"
"FAM27E3","FAM27E3"
"MGC42630","FAM27E3"
"FAM27E4","FAM27E4"
"FAM27E4P","FAM27E4"
"FAM27L","FAM27L"
"MGC35151","FAM27L"
"FAM30A~withdrawn","FAM30A~withdrawn"
"FAM32A","FAM32A"
"DKFZP586O0120","FAM32A"
"FAM32B","FAM32B"
"FAM32C","FAM32C"
"FAM32D","FAM32D"
"FAM32E","FAM32E"
"FAM35A","FAM35A"
"MGC5560","FAM35A"
"bA163M19.1","FAM35A"
"FAM35A1","FAM35A"
"FAM35BP","FAM35BP"
"FAM35B","FAM35BP"
"bA38L15.1","FAM35BP"
"FAM35CP","FAM35CP"
"FAM35AP","FAM35CP"
"FAM35A2","FAM35CP"
"FAM35DP","FAM35DP"
"FAM35B2","FAM35DP"
"FAM35EP","FAM35EP"
"FAM38B2~withdrawn","FAM38B2~withdrawn"
"FAM41AY1","FAM41AY1"
"FAM41AY","FAM41AY1"
"FAM41AY2","FAM41AY2"
"FAM41BY~withdrawn","FAM41BY~withdrawn"
"FAM41C","FAM41C"
"FAM43A","FAM43A"
"FLJ90022","FAM43A"
"FAM43B","FAM43B"
"FLJ44952","FAM43B"
"FAM45A","FAM45A"
"FAM45B","FAM45B"
"HT011","FAM45B"
"FAM46A","FAM46A"
"C6orf37","FAM46A"
"FLJ20037","FAM46A"
"FAM46B","FAM46B"
"MGC16491","FAM46B"
"FAM46C","FAM46C"
"FLJ20202","FAM46C"
"FAM46D","FAM46D"
"MGC26999","FAM46D"
"CT1.26","FAM46D"
"CT112","FAM46D"
"FAM47A","FAM47A"
"MGC27003","FAM47A"
"FAM47B","FAM47B"
"FLJ35782","FAM47B"
"FAM47C","FAM47C"
"FAM47DP","FAM47DP"
"FAM47E","FAM47E"
"FLJ42946","FAM47E"
"LOC100129583","FAM47E"
"FAM47E-STBD1","FAM47E-STBD1"
"FAM49A","FAM49A"
"DKFZP566A1524","FAM49A"
"FLJ11080","FAM49A"
"FAM49B","FAM49B"
"BM-009","FAM49B"
"FAM50A","FAM50A"
"DXS9928E","FAM50A"
"XAP5","FAM50A"
"HXC-26","FAM50A"
"9F","FAM50A"
"FAM50B","FAM50B"
"D6S2654E","FAM50B"
"X5L","FAM50B"
"FAM53A","FAM53A"
"DNTNP","FAM53A"
"FAM53B","FAM53B"
"KIAA0140","FAM53B"
"bA12J10.2","FAM53B"
"FAM53B-AS1","FAM53B-AS1"
"FAM53C","FAM53C"
"C5orf6","FAM53C"
"FAM57A","FAM57A"
"FLJ22282","FAM57A"
"FAM57B","FAM57B"
"DKFZP434I2117","FAM57B"
"FAM58A","FAM58A"
"MGC29729","FAM58A"
"FLJ21610","FAM58A"
"FAM58BP","FAM58BP"
"FAM58B","FAM58BP"
"FAM58CP","FAM58CP"
"FAM58AP1","FAM58CP"
"FAM58Y","FAM58CP"
"FAM58DP","FAM58DP"
"FAM60A","FAM60A"
"C12orf14","FAM60A"
"TERA","FAM60A"
"FAM60BP","FAM60BP"
"HsT2323","FAM60BP"
"FAM60CP","FAM60CP"
"FAM60DP","FAM60DP"
"FAM63A","FAM63A"
"FLJ11280","FAM63A"
"FAM63B","FAM63B"
"KIAA1164","FAM63B"
"FAM64A","FAM64A"
"FLJ10156","FAM64A"
"FLJ10491","FAM64A"
"CATS","FAM64A"
"FAM65A","FAM65A"
"FLJ13725","FAM65A"
"FAM65B","FAM65B"
"C6orf32","FAM65B"
"KIAA0386","FAM65B"
"DIFF48","FAM65B"
"MYONAP","FAM65B"
"FAM65C","FAM65C"
"C20orf175","FAM65C"
"C20orf176","FAM65C"
"dJ530I15.2","FAM65C"
"dJ530I15.3","FAM65C"
"FAM66A","FAM66A"
"FAM66B","FAM66B"
"FAM66C","FAM66C"
"FAM66D","FAM66D"
"FAM66E","FAM66E"
"FAM67A~withdrawn","FAM67A~withdrawn"
"FAM67B~withdrawn","FAM67B~withdrawn"
"FAM69A","FAM69A"
"FLJ23493","FAM69A"
"FAM69B","FAM69B"
"MGC20262","FAM69B"
"C9orf136","FAM69B"
"FAM69C","FAM69C"
"C18orf51","FAM69C"
"FAM71A","FAM71A"
"FLJ32796","FAM71A"
"FAM71B","FAM71B"
"MGC26988","FAM71B"
"FAM71BP1","FAM71BP1"
"FAM71C","FAM71C"
"MGC39520","FAM71C"
"FAM71D","FAM71D"
"C14orf54","FAM71D"
"FAM71E1","FAM71E1"
"FAM71E2","FAM71E2"
"C19orf16","FAM71E2"
"DKFZp434G1729","FAM71E2"
"FAM71F1","FAM71F1"
"FAM137A","FAM71F1"
"NYD-SP18","FAM71F1"
"FAM71F2","FAM71F2"
"FAM137B","FAM71F2"
"FAM72A","FAM72A"
"MGC57827","FAM72A"
"RP11-312O7.1","FAM72A"
"FAM72B","FAM72B"
"RP11-439A17.6","FAM72B"
"FAM72C","FAM72C"
"RP5-998N21.9","FAM72C"
"FAM72D","FAM72D"
"FAM73A","FAM73A"
"FLJ35093","FAM73A"
"FAM73B","FAM73B"
"C9orf54","FAM73B"
"FLJ14596","FAM73B"
"FLJ00199","FAM73B"
"FAM74A1","FAM74A1"
"FAM74A2","FAM74A2"
"FAM74A3","FAM74A3"
"OTTHUMG00000067149","FAM74A3"
"FAM74A4","FAM74A4"
"FLJ45202","FAM74A4"
"FAM74A5","FAM74A5"
"FAM74A6","FAM74A6"
"FAM74A7","FAM74A7"
"FAM76A","FAM76A"
"MGC34648","FAM76A"
"FAM76B","FAM76B"
"MGC33371","FAM76B"
"FAM78A","FAM78A"
"C9orf59","FAM78A"
"FLJ00024","FAM78A"
"FAM78B","FAM78B"
"FAM81A","FAM81A"
"MGC26690","FAM81A"
"FAM81B","FAM81B"
"FLJ25333","FAM81B"
"FAM83A","FAM83A"
"MGC14128","FAM83A"
"BJ-TSA-9","FAM83A"
"FAM83A-AS1","FAM83A-AS1"
"HCCC11","FAM83A-AS1"
"FAM83B","FAM83B"
"C6orf143","FAM83B"
"FLJ30642","FAM83B"
"FAM83C","FAM83C"
"C20orf128","FAM83C"
"dJ614O4.7","FAM83C"
"FAM83C-AS1","FAM83C-AS1"
"C20orf120","FAM83C-AS1"
"NCRNA00154","FAM83C-AS1"
"dJ614O4.3","FAM83C-AS1"
"FAM83D","FAM83D"
"C20orf129","FAM83D"
"dJ616B8.3","FAM83D"
"FAM83E","FAM83E"
"FLJ20200","FAM83E"
"FAM83F","FAM83F"
"FAM83G","FAM83G"
"FLJ41564","FAM83G"
"PAWS1","FAM83G"
"FAM83H","FAM83H"
"FLJ46072","FAM83H"
"FAM83H-AS1","FAM83H-AS1"
"FAM84A","FAM84A"
"NSE1","FAM84A"
"FLJ35392","FAM84A"
"FAM84B","FAM84B"
"BCMP101","FAM84B"
"NSE2","FAM84B"
"FAM85A","FAM85A"
"FAM85B","FAM85B"
"FAM86A","FAM86A"
"SB153","FAM86A"
"MGC19636","FAM86A"
"FAM86B1","FAM86B1"
"MGC16279","FAM86B1"
"FAM86B2","FAM86B2"
"FAM86B3P","FAM86B3P"
"FAM86C1","FAM86C1"
"FAM86C","FAM86C1"
"FLJ10661","FAM86C1"
"FLJ27199","FAM86C1"
"FAM86C2P","FAM86C2P"
"FAM86DP","FAM86DP"
"FAM86D","FAM86DP"
"FAM86EP","FAM86EP"
"FAM86FP","FAM86FP"
"FAM86GP","FAM86GP"
"FAM86HP","FAM86HP"
"FAM86JP","FAM86JP"
"FAM86KP","FAM86KP"
"FAM86LP","FAM86LP"
"FAM86MP","FAM86MP"
"FAM87A","FAM87A"
"FAM87B","FAM87B"
"FLJ40008","FAM87B"
"FAM89A","FAM89A"
"C1orf153","FAM89A"
"MGC15887","FAM89A"
"FAM89B","FAM89B"
"FAM90A1","FAM90A1"
"FLJ10408","FAM90A1"
"FAM90A2P","FAM90A2P"
"FAM90A3P","FAM90A3P"
"FAM90A3","FAM90A3P"
"FAM90A4P","FAM90A4P"
"FAM90A4","FAM90A4P"
"FAM90A5P","FAM90A5P"
"FAM90A5","FAM90A5P"
"FAM90A6P","FAM90A6P"
"FAM90A7P","FAM90A7P"
"FAM90A7","FAM90A7P"
"FAM90A8P","FAM90A8P"
"FAM90A8","FAM90A8P"
"FAM90A9P","FAM90A9P"
"FAM90A9","FAM90A9P"
"FAM90A10P","FAM90A10P"
"FAM90A10","FAM90A10P"
"FAM90A11P","FAM90A11P"
"FAM90A11","FAM90A11P"
"FAM90A12P","FAM90A12P"
"FAM90A12","FAM90A12P"
"FAM90A13P","FAM90A13P"
"FAM90A13","FAM90A13P"
"FAM90A14P","FAM90A14P"
"FAM90A14","FAM90A14P"
"FAM90A15P","FAM90A15P"
"FAM90A15","FAM90A15P"
"FAM90A16P","FAM90A16P"
"FAM90A16","FAM90A16P"
"FAM90A17P","FAM90A17P"
"FAM90A17","FAM90A17P"
"FAM90A18P","FAM90A18P"
"FAM90A18","FAM90A18P"
"FAM90A19P","FAM90A19P"
"FAM90A19","FAM90A19P"
"FAM90A20P","FAM90A20P"
"FAM90A20","FAM90A20P"
"FAM90A21P","FAM90A21P"
"FAM90A22P","FAM90A22P"
"FAM90A22","FAM90A22P"
"FAM90A23P","FAM90A23P"
"FAM90A23","FAM90A23P"
"FAM90A24P","FAM90A24P"
"FAM90A24","FAM90A24P"
"FAM90A25P","FAM90A25P"
"FAM90A26","FAM90A26"
"FAM90A26P","FAM90A26"
"FAM90A27P","FAM90A27P"
"FAM90A28P","FAM90A28P"
"FAM91A1","FAM91A1"
"FLJ23790","FAM91A1"
"FAM91A3P","FAM91A3P"
"FAM92A1","FAM92A1"
"FLJ38979","FAM92A1"
"FAM92A1P1","FAM92A1P1"
"FAM92A2","FAM92A1P1"
"FAM92A1P2","FAM92A1P2"
"FAM92A3","FAM92A1P2"
"MGC71735","FAM92A1P2"
"MGC102964","FAM92A1P2"
"FAM92B","FAM92B"
"FLJ44299","FAM92B"
"FAM93A~withdrawn","FAM93A~withdrawn"
"FAM93B~withdrawn","FAM93B~withdrawn"
"FAM95A","FAM95A"
"DKFZp434H0923","FAM95A"
"FAM95B1","FAM95B1"
"DKFZp686P0734","FAM95B1"
"FAM95C","FAM95C"
"FAM96A","FAM96A"
"FLJ22875","FAM96A"
"FAM96AP1","FAM96AP1"
"FAM96AP2","FAM96AP2"
"FAM96B","FAM96B"
"CGI-128","FAM96B"
"FAM98A","FAM98A"
"DKFZP564F0522","FAM98A"
"FAM98B","FAM98B"
"FLJ38426","FAM98B"
"FAM98C","FAM98C"
"FLJ44669","FAM98C"
"FAM99A","FAM99A"
"FLJ42833","FAM99A"
"FAM99B","FAM99B"
"DKFZp781M09150","FAM99B"
"FAM101A","FAM101A"
"FLJ44614","FAM101A"
"FAM101B","FAM101B"
"MGC45871","FAM101B"
"FAM102A","FAM102A"
"C9orf132","FAM102A"
"Eeig1","FAM102A"
"bA203J24.7","FAM102A"
"SYM-3A","FAM102A"
"FAM102B","FAM102B"
"DKFZp779B126","FAM102B"
"SYM-3B","FAM102B"
"FAM103A1","FAM103A1"
"HsT19360","FAM103A1"
"C15orf18","FAM103A1"
"MGC2560","FAM103A1"
"FAM103A2P","FAM103A2P"
"C6orf119","FAM103A2P"
"dJ427A4.2","FAM103A2P"
"FAM104A","FAM104A"
"FLJ14775","FAM104A"
"FAM104B","FAM104B"
"CXorf44","FAM104B"
"FLJ20434","FAM104B"
"FAM105A","FAM105A"
"FLJ11127","FAM105A"
"NET20","FAM105A"
"FAM106A","FAM106A"
"FLJ11800","FAM106A"
"FAM106B","FAM106B"
"FAM106CP","FAM106CP"
"FAM106C","FAM106CP"
"FAM106DP","FAM106DP"
"FAM106D","FAM106DP"
"FAM107A","FAM107A"
"DRR1","FAM107A"
"TU3A","FAM107A"
"FAM107B","FAM107B"
"C10orf45","FAM107B"
"FLJ45505","FAM107B"
"MGC11034","FAM107B"
"FAM108A11P~withdrawn","FAM108A11P~withdrawn"
"FAM109A","FAM109A"
"FLJ32356","FAM109A"
"FAM109B","FAM109B"
"DKFZp686J07229","FAM109B"
"FAM110A","FAM110A"
"C20orf55","FAM110A"
"bA371L19.3","FAM110A"
"FAM110B","FAM110B"
"C8orf72","FAM110B"
"MGC39325","FAM110B"
"FAM110C","FAM110C"
"FAM110D","FAM110D"
"GRRP1","FAM110D"
"FLJ14050","FAM110D"
"FAM111A","FAM111A"
"FLJ22794","FAM111A"
"KIAA1895","FAM111A"
"FAM111B","FAM111B"
"FAM114A1","FAM114A1"
"Noxp20","FAM114A1"
"FAM114A2","FAM114A2"
"C5orf3","FAM114A2"
"133K02","FAM114A2"
"FAM115A","FAM115A"
"KIAA0738","FAM115A"
"FAM115B","FAM115B"
"FAM115C","FAM115C"
"FAM139A","FAM115C"
"FLJ40722","FAM115C"
"FAM115D","FAM115D"
"FAM139B","FAM115D"
"FLJ40722-like","FAM115D"
"FAM117A","FAM117A"
"FAM117B","FAM117B"
"ALS2CR13","FAM117B"
"FLJ38771","FAM117B"
"FAM118A","FAM118A"
"C22orf8","FAM118A"
"FLJ20635","FAM118A"
"bK268H5.C22.4","FAM118A"
"FAM118B","FAM118B"
"FLJ21103","FAM118B"
"FAM120A","FAM120A"
"C9orf10","FAM120A"
"KIAA0183","FAM120A"
"DNAPTP1","FAM120A"
"OSSA","FAM120A"
"FAM120AOS","FAM120AOS"
"C9orf10OS","FAM120AOS"
"FAM120B","FAM120B"
"KIAA1838","FAM120B"
"PGCC1","FAM120B"
"CCPG","FAM120B"
"FAM120C","FAM120C"
"CXorf17","FAM120C"
"ORF34","FAM120C"
"FLJ20506","FAM120C"
"FAM122A","FAM122A"
"C9orf42","FAM122A"
"MGC17347","FAM122A"
"FAM122B","FAM122B"
"DKFZp686L20116","FAM122B"
"RP11-308B5.5","FAM122B"
"FAM122C","FAM122C"
"RP3-473B4.1","FAM122C"
"FAM124A","FAM124A"
"FLJ30707","FAM124A"
"FAM124B","FAM124B"
"FLJ22746","FAM124B"
"FAM126A","FAM126A"
"DRCTNNB1A","FAM126A"
"HCC","FAM126A"
"HYCC1","FAM126A"
"hyccin","FAM126A"
"FAM126B","FAM126B"
"MGC39518","FAM126B"
"HYCC2","FAM126B"
"FAM127A","FAM127A"
"CXX1","FAM127A"
"Mart8","FAM127A"
"Mar8","FAM127A"
"MAR8C","FAM127A"
"FAM127B","FAM127B"
"DKFZP564B147","FAM127B"
"MAR8A","FAM127B"
"CXX1b","FAM127B"
"FAM127C","FAM127C"
"MAR8B","FAM127C"
"CXX1c","FAM127C"
"FAM129A","FAM129A"
"C1orf24","FAM129A"
"NIBAN","FAM129A"
"GIG39","FAM129A"
"FAM129B","FAM129B"
"C9orf88","FAM129B"
"DKFZP434H0820","FAM129B"
"FLJ13518","FAM129B"
"FLJ22151","FAM129B"
"FLJ22298","FAM129B"
"bA356B19.6","FAM129B"
"MINERVA","FAM129B"
"FAM129C","FAM129C"
"FLJ39802","FAM129C"
"BCNP1","FAM129C"
"FAM131A","FAM131A"
"C3orf40","FAM131A"
"MGC21688","FAM131A"
"FAM131B","FAM131B"
"KIAA0773","FAM131B"
"FAM131C","FAM131C"
"C1orf117","FAM131C"
"FLJ36766","FAM131C"
"FAM132A","FAM132A"
"C1QDC2","FAM132A"
"MGC105127","FAM132A"
"C1QTNF12","FAM132A"
"CTRP12","FAM132A"
"FAM132B","FAM132B"
"FLJ37034","FAM132B"
"CTRP15","FAM132B"
"C1QTNF15","FAM132B"
"FAM133A","FAM133A"
"RP1-32F7.2","FAM133A"
"FLJ37659","FAM133A"
"CT115","FAM133A"
"FAM133B","FAM133B"
"MGC40405","FAM133B"
"FAM133CP","FAM133CP"
"FAM133DP","FAM133DP"
"FAM134A","FAM134A"
"C2orf17","FAM134A"
"MGC3035","FAM134A"
"FAM134B","FAM134B"
"FLJ20152","FAM134B"
"FAM134C","FAM134C"
"DKFZp686B1036","FAM134C"
"FLJ33806","FAM134C"
"FAM135A","FAM135A"
"KIAA1411","FAM135A"
"FLJ20176","FAM135A"
"FAM135B","FAM135B"
"C8ORFK32","FAM135B"
"FAM136A","FAM136A"
"FLJ14668","FAM136A"
"FAM136BP","FAM136BP"
"C6orf87","FAM136BP"
"FAM136B","FAM136BP"
"dJ40E16.3","FAM136BP"
"FAM138A","FAM138A"
"F379","FAM138A"
"FAM138B","FAM138B"
"FAM138C","FAM138C"
"FAM138D","FAM138D"
"FAM138E","FAM138E"
"FAM138F","FAM138F"
"FAM149A","FAM149A"
"DKFZP564J102","FAM149A"
"MST119","FAM149A"
"MSTP119","FAM149A"
"FAM149B1","FAM149B1"
"KIAA0974","FAM149B1"
"FAM149B1P1","FAM149B1P1"
"KIAA0974P","FAM149B1P1"
"FAM149B2","FAM149B1P1"
"FAM150A","FAM150A"
"UNQ9433","FAM150A"
"FAM150B","FAM150B"
"FAM151A","FAM151A"
"C1orf179","FAM151A"
"MGC27169","FAM151A"
"FAM151B","FAM151B"
"UNQ9217","FAM151B"
"FAM153A","FAM153A"
"NY-REN-7","FAM153A"
"FAM153B","FAM153B"
"FAM153C","FAM153C"
"NY-REN-7-like","FAM153C"
"FAM154A","FAM154A"
"C9orf138","FAM154A"
"MGC35182","FAM154A"
"FAM154B","FAM154B"
"DKFZp666G057","FAM154B"
"FAM155A","FAM155A"
"FAM155A-IT1","FAM155A-IT1"
"FAM155B","FAM155B"
"TMEM28","FAM155B"
"CXorf63","FAM155B"
"TED","FAM155B"
"FAM156A","FAM156A"
"TMEM29","FAM156A"
"PRO0659","FAM156A"
"FAM156B","FAM156B"
"TMEM29B","FAM156B"
"FAM157A","FAM157A"
"FAM157B","FAM157B"
"FAM157C","FAM157C"
"FAM159A","FAM159A"
"MGC52498","FAM159A"
"FAM159B","FAM159B"
"FAM160A1","FAM160A1"
"FLJ43373","FAM160A1"
"FAM160A2","FAM160A2"
"C11orf56","FAM160A2"
"FLJ22665","FAM160A2"
"KIAA1759","FAM160A2"
"DKFZP566M1046","FAM160A2"
"FAM160B1","FAM160B1"
"KIAA1600","FAM160B1"
"bA106M7.3","FAM160B1"
"FAM160B2","FAM160B2"
"RAI16","FAM160B2"
"FLJ21801","FAM160B2"
"FAM161A","FAM161A"
"RP28","FAM161A"
"FLJ13305","FAM161A"
"FAM161B","FAM161B"
"C14orf44","FAM161B"
"FLJ31697","FAM161B"
"FAM162A","FAM162A"
"C3orf28","FAM162A"
"E2IG5","FAM162A"
"FAM162B","FAM162B"
"C6orf189","FAM162B"
"bA86F4.2","FAM162B"
"FAM163A","FAM163A"
"C1orf76","FAM163A"
"MGC16664","FAM163A"
"FAM163B","FAM163B"
"C9orf166","FAM163B"
"FAM166A","FAM166A"
"FAM166B","FAM166B"
"FAM167A","FAM167A"
"C8orf13","FAM167A"
"FAM167B","FAM167B"
"C1orf90","FAM167B"
"MGC10820","FAM167B"
"FAM168A","FAM168A"
"KIAA0280","FAM168A"
"TCRP1","FAM168A"
"FAM168B","FAM168B"
"KIAA0280L","FAM168B"
"FAM169A","FAM169A"
"KIAA0888","FAM169A"
"FAM169B","FAM169B"
"FLJ39743","FAM169B"
"KIAA0888L","FAM169B"
"FAM170A","FAM170A"
"FAM170B","FAM170B"
"C10orf73","FAM170B"
"Em:AC084727.4","FAM170B"
"FAM170B-AS1","FAM170B-AS1"
"FAM171A1","FAM171A1"
"C10orf38","FAM171A1"
"FLJ12884","FAM171A1"
"FAM171A2","FAM171A2"
"MGC34829","FAM171A2"
"FAM171B","FAM171B"
"KIAA1946","FAM171B"
"FLJ34104","FAM171B"
"FAM172A","FAM172A"
"C5orf21","FAM172A"
"DKFZP564D172","FAM172A"
"FAM172BP","FAM172BP"
"FAM172B","FAM172BP"
"LOC131909","FAM172BP"
"FLJ45679","FAM172BP"
"FAM173A","FAM173A"
"C16orf24","FAM173A"
"MGC2494","FAM173A"
"FAM173B","FAM173B"
"FAM174A","FAM174A"
"TMEM157","FAM174A"
"UNQ1912","FAM174A"
"FAM174B","FAM174B"
"LOC400451","FAM174B"
"MGC102891","FAM174B"
"FAM175A","FAM175A"
"CCDC98","FAM175A"
"FLJ13614","FAM175A"
"ABRA1","FAM175A"
"FAM175B","FAM175B"
"KIAA0157","FAM175B"
"Em:AC068896.4","FAM175B"
"ABRO1","FAM175B"
"FAM177A1","FAM177A1"
"C14orf24","FAM177A1"
"FAM177A1P1","FAM177A1P1"
"FAM177A2","FAM177A1P1"
"FAM177B","FAM177B"
"RP11-452F19.2","FAM177B"
"FLJ43505","FAM177B"
"FAM178A","FAM178A"
"C10orf6","FAM178A"
"FLJ10512","FAM178A"
"FLJ25012","FAM178A"
"FAM178B","FAM178B"
"LOC51252","FAM178B"
"FAM179A","FAM179A"
"FLJ43249","FAM179A"
"LOC165186","FAM179A"
"FAM179B","FAM179B"
"KIAA0423","FAM179B"
"FAM180A","FAM180A"
"HWKM1940","FAM180A"
"UNQ1940","FAM180A"
"FAM180B","FAM180B"
"LOC399888","FAM180B"
"FAM181A","FAM181A"
"C14orf152","FAM181A"
"FAM181A-AS1","FAM181A-AS1"
"C14orf86","FAM181A-AS1"
"FAM181B","FAM181B"
"LOC220382","FAM181B"
"MGC33846","FAM181B"
"FAM182A","FAM182A"
"C20orf91","FAM182A"
"bB329D4.1","FAM182A"
"C20orf91A","FAM182A"
"FAM182B","FAM182B"
"FAM183A","FAM183A"
"LOC440585","FAM183A"
"hCG23177","FAM183A"
"FAM183B","FAM183B"
"LOC340286","FAM183B"
"FAM183CP","FAM183CP"
"FAM184A","FAM184A"
"C6orf60","FAM184A"
"FLJ13942","FAM184A"
"FAM184B","FAM184B"
"KIAA1276","FAM184B"
"FAM185A","FAM185A"
"MGC35361","FAM185A"
"FAM185BP","FAM185BP"
"FAM185B","FAM185BP"
"FAM186A","FAM186A"
"LOC121006","FAM186A"
"FAM186B","FAM186B"
"C12orf25","FAM186B"
"DKFZP434J0113","FAM186B"
"FAM187A","FAM187A"
"FAM187B","FAM187B"
"TMEM162","FAM187B"
"FLJ25660","FAM187B"
"FAM187B2P","FAM187B2P"
"FAM188A","FAM188A"
"C10orf97","FAM188A"
"FLJ13397","FAM188A"
"my042","FAM188A"
"DERP5","FAM188A"
"FAM188B","FAM188B"
"C7orf67","FAM188B"
"FLJ22374","FAM188B"
"FAM188B2","FAM188B2"
"C3orf76","FAM188B2"
"FAM189A1","FAM189A1"
"KIAA0574","FAM189A1"
"TMEM228","FAM189A1"
"FAM189A2","FAM189A2"
"C9orf61","FAM189A2"
"X123","FAM189A2"
"FAM189B","FAM189B"
"C1orf2","FAM189B"
"cote1","FAM189B"
"FAM192A","FAM192A"
"C16orf94","FAM192A"
"NIP30","FAM192A"
"FAM192BP","FAM192BP"
"FAM192B","FAM192BP"
"rcNIP30","FAM192BP"
"FAM193A","FAM193A"
"C4orf8","FAM193A"
"RES4-22","FAM193A"
"FAM193B","FAM193B"
"KIAA1931","FAM193B"
"FLJ10404","FAM193B"
"FAM195A","FAM195A"
"C16orf14","FAM195A"
"MGC15416","FAM195A"
"FAM195B","FAM195B"
"FAM195CP","FAM195CP"
"FAM195DP","FAM195DP"
"FAM196A","FAM196A"
"C10orf141","FAM196A"
"FLJ45557","FAM196A"
"FAM196B","FAM196B"
"C5orf57","FAM196B"
"FAM197Y1","FAM197Y1"
"FAM197Y2","FAM197Y2"
"CYorf16","FAM197Y2"
"FAM197Y2P","FAM197Y2"
"FAM197Y3","FAM197Y3"
"FAM197Y4","FAM197Y4"
"FAM197Y5","FAM197Y5"
"FAM197Y6","FAM197Y6"
"FAM197Y7","FAM197Y7"
"FAM197Y8","FAM197Y8"
"FAM197Y9","FAM197Y9"
"FAM197Y10","FAM197Y10"
"FAM198A","FAM198A"
"C3orf41","FAM198A"
"DKFZP434B172","FAM198A"
"FAM198B","FAM198B"
"C4orf18","FAM198B"
"FLJ38155","FAM198B"
"DKFZp434L142","FAM198B"
"FAM199X","FAM199X"
"CXorf39","FAM199X"
"FAM199YP","FAM199YP"
"FAM199Y","FAM199YP"
"FAM200A","FAM200A"
"C7orf38","FAM200A"
"FLJ36794","FAM200A"
"DKFZp727G131","FAM200A"
"FAM200B","FAM200B"
"C4orf53","FAM200B"
"FAM201A","FAM201A"
"C9orf122","FAM201A"
"FAM201B","FAM201B"
"FAM201C","FAM201C"
"FAM202A~withdrawn","FAM202A~withdrawn"
"FAM202B~withdrawn","FAM202B~withdrawn"
"FAM202C~withdrawn","FAM202C~withdrawn"
"FAM203A","FAM203A"
"C8orf30A","FAM203A"
"FLJ40907","FAM203A"
"LOC51236","FAM203A"
"FAM203B","FAM203B"
"C8orf30B","FAM203B"
"FAM204A","FAM204A"
"C10orf84","FAM204A"
"FLJ13188","FAM204A"
"bA319I23.1","FAM204A"
"FAM204BP","FAM204BP"
"FAM204CP","FAM204CP"
"FAM204DP","FAM204DP"
"FAM205A","FAM205A"
"C9orf144B","FAM205A"
"FAM205B","FAM205B"
"C9orf144","FAM205B"
"DKFZp434J193","FAM205B"
"C9orf144A","FAM205B"
"FAM205CP","FAM205CP"
"FAM206A","FAM206A"
"C9orf6","FAM206A"
"CG-8","FAM206A"
"FLJ20457","FAM206A"
"FAM206BP","FAM206BP"
"FAM207A","FAM207A"
"C21orf70","FAM207A"
"PRED56","FAM207A"
"FAM207BP","FAM207BP"
"FAM207CP","FAM207CP"
"FAM208A","FAM208A"
"C3orf63","FAM208A"
"se89-1","FAM208A"
"RAP140","FAM208A"
"KIAA1105","FAM208A"
"FAM208B","FAM208B"
"C10orf18","FAM208B"
"FLJ20360","FAM208B"
"bA318E3.2","FAM208B"
"KIAA2006","FAM208B"
"FAM209A","FAM209A"
"C20orf106","FAM209A"
"dJ1153D9.3","FAM209A"
"FAM209B","FAM209B"
"C20orf107","FAM209B"
"dJ1153D9.4","FAM209B"
"FAM210A","FAM210A"
"C18orf19","FAM210A"
"MGC24180","FAM210A"
"HsT2329","FAM210A"
"FAM210B","FAM210B"
"C20orf108","FAM210B"
"dJ1167H4.1","FAM210B"
"DKFZP434A1114","FAM210B"
"FAM210CP","FAM210CP"
"FAM212A","FAM212A"
"C3orf54","FAM212A"
"FAM212B","FAM212B"
"C1orf183","FAM212B"
"FLJ31105","FAM212B"
"FAM212B-AS1","FAM212B-AS1"
"FAM213A","FAM213A"
"C10orf58","FAM213A"
"MGC4248","FAM213A"
"PAMM","FAM213A"
"FAM213B","FAM213B"
"C1orf93","FAM213B"
"MGC26818","FAM213B"
"FAM214A","FAM214A"
"KIAA1370","FAM214A"
"FLJ10980","FAM214A"
"FAM214B","FAM214B"
"KIAA1539","FAM214B"
"FLJ11560","FAM214B"
"bA182N22.6","FAM214B"
"FAM215A","FAM215A"
"C17orf88","FAM215A"
"APR-2","FAM215A"
"LINC00530","FAM215A"
"FAM215B","FAM215B"
"ARL17A-IT1","FAM215B"
"FAM216A","FAM216A"
"C12orf24","FAM216A"
"HSU79274","FAM216A"
"FAM216B","FAM216B"
"C13orf30","FAM216B"
"FLJ40919","FAM216B"
"FAM217A","FAM217A"
"C6orf146","FAM217A"
