ensg	chromosome_name	hgnc_symbol
ENSG00000277415	CHR_HSCHR6_MHC_MANN_CTG1	BX927229.3
ENSG00000239437	3	RN7SL752P
ENSG00000274390	19	MIR6885
ENSG00000222355	7	RNU2-29P
ENSG00000276873	21	AF129408.2
ENSG00000207645	19	MIR512-1
ENSG00000239106	1	AL445686.2
ENSG00000277677	15	AC090971.7
ENSG00000221288	2	MIR663B
ENSG00000252621	10	AL157387.2
ENSG00000244169	3	RN7SL120P
ENSG00000274873	CHR_HSCHR19LRC_LRC_J_CTG3_1	AC012314.5
ENSG00000252223	2	RNU6-1049P
ENSG00000277754	14	AL355836.2
ENSG00000275458	2	MIR6809
ENSG00000252282	1	RNU6-1089P
ENSG00000207190	1	RNU6-809P
ENSG00000283152	1	MIR3120
ENSG00000281822	CHR_HG126_PATCH	RNU1-62P
ENSG00000200693	14	AL136038.1
ENSG00000284448	21	MIR6501
ENSG00000265986	1	MIR4735
ENSG00000201395	14	RN7SKP257
ENSG00000207154	18	RNU1-46P
ENSG00000266689	CHR_HSCHR6_MHC_QBL_CTG1	AL929581.2
ENSG00000239003	13	RNU7-88P
ENSG00000284266	22	MIR4534
ENSG00000221063	10	MIR1296
ENSG00000201014	7	RNA5SP232
ENSG00000283656	10	MIR4483
ENSG00000202414	20	AL035252.1
ENSG00000206774	5	RNU6-211P
ENSG00000216058	3	MIR944
ENSG00000200421	1	AC104336.1
ENSG00000207505	3	RNU6-1105P
ENSG00000265140	11	MIR4301
ENSG00000207732	4	MIR218-1
ENSG00000207047	2	SNORD51
ENSG00000200051	5	AC011399.1
ENSG00000212411	10	AL160060.1
ENSG00000266431	14	MIR5580
ENSG00000265674	CHR_HSCHR6_MHC_APD_CTG1	CR925727.1
ENSG00000198995	5	MIR340
ENSG00000265154	14	MIR151B
ENSG00000277771	22	AL117328.2
ENSG00000206714	5	AC104108.1
ENSG00000283556	14	MIR376B
ENSG00000284427	6	MIR4647
ENSG00000265727	X	RN7SL648P
ENSG00000202041	1	AL359918.1
ENSG00000238704	17	RNU7-97P
ENSG00000277196	KI270734.1	AC007325.2
ENSG00000277014	16	MIR3179-4
ENSG00000200733	13	AL355821.1
ENSG00000207656	7	MIR489
ENSG00000201807	6	AL121933.1
ENSG00000283160	17	MIR4521
ENSG00000251720	1	RNU7-123P
ENSG00000280836	1	AL355480.1
ENSG00000221510	7	MIR548O
ENSG00000253739	8	RNU6-323P
ENSG00000207839	17	MIR33B
ENSG00000222205	8	RNA5SP266
ENSG00000207804	8	MIR599
ENSG00000266210	1	RN7SL371P
ENSG00000200871	22	RNU6-810P
ENSG00000284565	17	MIR451A
ENSG00000265599	8	MIR4471
ENSG00000284595	17	MIR6785
ENSG00000240964	3	RN7SL751P
ENSG00000241568	9	RN7SL338P
ENSG00000206659	1	Z99297.1
ENSG00000284195	9	MIR6852
ENSG00000284216	19	MIR1909
ENSG00000239398	18	RN7SL342P
ENSG00000207550	19	MIR99B
ENSG00000271886	X	MIR98
ENSG00000263598	CHR_HSCHR6_MHC_MCF_CTG1	CR936883.1
ENSG00000275881	12	AC079035.2
ENSG00000274380	19	MIR6801
ENSG00000280004	7	AC005086.4
ENSG00000283694	X	MIR3202-2
ENSG00000277776	CHR_HSCHR19LRC_LRC_S_CTG3_1	NLRP7
ENSG00000266761	20	MIR3194
ENSG00000212358	12	RNU6-837P
ENSG00000277809	2	AC012354.9
ENSG00000265606	1	MIR4695
ENSG00000221120	3	MIR1224
ENSG00000276339	CHR_HSCHR19LRC_PGF1_CTG3_1	CU151839.1
ENSG00000201701	3	AC094019.1
ENSG00000284443	1	MIR197
ENSG00000263790	9	MIR4473
ENSG00000277567	CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1	GU182340.1
ENSG00000206749	12	RNU6-1083P
ENSG00000276886	CHR_HSCHR15_4_CTG8	GREM1
ENSG00000265347	9	MIR4291
ENSG00000265633	CHR_HSCHR6_MHC_MCF_CTG1	CR942271.1
ENSG00000199059	1	MIR135B
ENSG00000239057	X	MIR500B
ENSG00000242348	20	RN7SL561P
ENSG00000207218	2	AC009413.1
ENSG00000207431	6	RNU6-906P
ENSG00000263744	11	MIR3664
ENSG00000207820	X	MIR545
ENSG00000207121	4	RNU6-1230P
ENSG00000252627	X	RNU6-122P
ENSG00000275915	1	AL021155.2
ENSG00000221533	X	MIR1184-1
ENSG00000264211	11	MIR4492
ENSG00000222436	10	RN7SKP278
ENSG00000221604	12	MIR1293
ENSG00000238707	10	AC025039.1
ENSG00000276760	KI270727.1	AC136352.4
ENSG00000238904	5	RNU7-34P
ENSG00000212138	12	RNA5SP372
ENSG00000264530	9	RN7SL25P
ENSG00000283487	13	MIR4501
ENSG00000207071	10	RNU6-1207P
ENSG00000263629	14	MIR5586
ENSG00000264210	15	MIR4716
ENSG00000244139	3	RN7SL397P
ENSG00000238650	8	SNORD54
ENSG00000200814	12	RNU6-595P
ENSG00000272507	10	RNU6-88P
ENSG00000265373	16	MIR3180-2
ENSG00000238622	11	SNORD97
ENSG00000251774	3	RNU6-377P
ENSG00000202141	2	AC064871.1
ENSG00000212489	3	RNU6-1109P
ENSG00000283819	17	MIR144
ENSG00000206812	13	RNU6-38P
ENSG00000252125	6	RNU6-1299P
ENSG00000201772	7	SNORA5C
ENSG00000223274	X	RNA5SP498
ENSG00000284399	17	MIR3184
ENSG00000275033	14	AL133467.5
ENSG00000201433	4	RNU6-335P
ENSG00000222583	3	RN7SKP222
ENSG00000222608	X	RNA5SP504
ENSG00000263602	17	MIR3185
ENSG00000243011	X	RN7SL266P
ENSG00000242020	5	RN7SL68P
ENSG00000274703	CHR_HSCHR19LRC_LRC_S_CTG3_1	OSCAR
ENSG00000284574	17	MIR6787
ENSG00000238391	7	RNA5SP233
ENSG00000222428	7	RNA5SP231
ENSG00000238653	1	RNU7-62P
ENSG00000251952	22	RNU6-1219P
ENSG00000283928	19	MIR637
ENSG00000207092	18	AP001033.2
ENSG00000200222	3	AC092040.1
ENSG00000222448	5	RN7SKP150
ENSG00000241391	6	RN7SL234P
ENSG00000265137	20	MIR3192
ENSG00000239555	16	RN7SL841P
ENSG00000252423	7	RNU6-229P
ENSG00000199709	11	RNU4-23P
ENSG00000239577	X	RN7SL388P
ENSG00000221091	20	MIR1302-5
ENSG00000202058	22	RN7SKP80
ENSG00000266463	20	MIR3196
ENSG00000201321	1	RNA5S9
ENSG00000221038	17	RNU6ATAC7P
ENSG00000206758	19	RNU6-317P
ENSG00000264610	10	MIR4685
ENSG00000202060	18	RNA5SP455
ENSG00000266299	21	MIR3118-1
ENSG00000277306	2	AC092156.1
ENSG00000200259	19	SNORD35A
ENSG00000199712	15	SNORD115-2
ENSG00000276639	11	MIR7154
ENSG00000265859	3	MIR5704
ENSG00000264047	2	RN7SL455P
ENSG00000200665	12	RNU6-1188P
ENSG00000280951	CHR_HG2030_PATCH	SURF4
ENSG00000277892	11	MIR6746
ENSG00000263445	4	MIR4450
ENSG00000264153	CHR_HSCHR6_MHC_QBL_CTG1	SNORA38
ENSG00000263838	12	MIR4698
ENSG00000276961	8	MIR7848
ENSG00000278378	CHR_HSCHR19LRC_PGF2_CTG3_1	OSCAR
ENSG00000275967	12	MIR6880
ENSG00000264158	9	MIR4670
ENSG00000207758	X	MIR532
ENSG00000198982	14	MIR380
ENSG00000207934	14	MIR654
ENSG00000252957	15	RNA5SP402
ENSG00000199886	12	RNU6-249P
ENSG00000206705	7	AC024084.1
ENSG00000266653	CHR_HSCHR6_MHC_APD_CTG1	CR936919.1
ENSG00000264909	CHR_HSCHR6_MHC_COX_CTG1	AL662842.2
ENSG00000275551	CHR_HSCHR19LRC_LRC_T_CTG3_1	OSCAR
ENSG00000276311	16	MIR6511A3
ENSG00000199796	19	RNU6-924P
ENSG00000199683	20	RN7SKP185
ENSG00000265816	CHR_HSCHR6_MHC_COX_CTG1	AL662828.2
ENSG00000208772	2	SNORD94
ENSG00000240663	18	RN7SL310P
ENSG00000283721	17	MIR6884
ENSG00000201407	X	AC079169.1
ENSG00000262354	CHR_HSCHR16_2_CTG3_1	AC208009.1
ENSG00000277629	CHR_HSCHR19LRC_LRC_J_CTG3_1	NCR1
ENSG00000275405	KI270713.1	AC213203.2
ENSG00000252352	17	AC115085.1
ENSG00000263409	19	MIR4747
ENSG00000251748	9	RNU4ATAC11P
ENSG00000251934	11	RNU6-1143P
ENSG00000275640	19	MIR6793
ENSG00000209582	17	SNORA48
ENSG00000252053	3	RNU6-1101P
ENSG00000284034	19	MIR5196
ENSG00000238344	14	SNORD126
ENSG00000201811	20	AL391095.1
ENSG00000252618	17	RNA5SP441
ENSG00000207773	19	MIR642A
ENSG00000278028	9	AL591926.6
ENSG00000251756	14	RNA5SP385
ENSG00000200681	6	RNU6-263P
ENSG00000200356	10	RNU6-833P
ENSG00000278328	19	MIR6802
ENSG00000252850	12	RNU1-117P
ENSG00000276735	1	AL390863.1
ENSG00000207453	10	RNU6-535P
ENSG00000207548	2	MIR217
ENSG00000212258	5	RNA5SP176
ENSG00000201550	3	RNU6-726P
ENSG00000201519	6	RNU6-645P
ENSG00000266078	2	MIR4432
ENSG00000222810	X	RNU2-68P
ENSG00000251957	10	RNU6-1095P
ENSG00000221406	1	MIR320B2
ENSG00000265252	2	MIR3132
ENSG00000274344	7	AC002542.2
ENSG00000277385	22	AL020993.2
ENSG00000264102	11	MIR4688
ENSG00000253066	10	RNU6-709P
ENSG00000266132	CHR_HSCHR6_MHC_QBL_CTG1	SNORD32B
ENSG00000266104	20	MIR4326
ENSG00000275229	1	RNU1-68P
ENSG00000252364	12	RNA5SP360
ENSG00000272458	14	MIR432
ENSG00000199715	6	AL031774.1
ENSG00000264084	3	MIR5688
ENSG00000251920	6	RNA5SP216
ENSG00000207162	15	RNU6-549P
ENSG00000265871	15	MIR3174
ENSG00000207366	14	RNU6-297P
ENSG00000207651	3	MIR28
ENSG00000273788	X	AC240504.2
ENSG00000275449	15	MIR6859-3
ENSG00000212539	18	AC012301.1
ENSG00000207173	16	AC012182.1
ENSG00000283420	5	MIR4278
ENSG00000275360	17	MIR6868
ENSG00000222266	5	RNU6-757P
ENSG00000264866	CHR_HSCHR6_MHC_QBL_CTG1	AL929561.4
ENSG00000200183	12	RNU6-238P
ENSG00000276221	18	MIR8057
ENSG00000273945	9	MIR6853
ENSG00000222544	12	RNU6-735P
ENSG00000252283	17	AC100852.1
ENSG00000252244	6	RNU7-3P
ENSG00000284268	19	MIR1181
ENSG00000283941	9	MIR600
ENSG00000206678	8	RNU6-144P
ENSG00000202144	X	AL732326.1
ENSG00000283886	9	BX664615.2
ENSG00000239053	2	RNU7-138P
ENSG00000284387	19	MIR24-2
ENSG00000275724	CHR_HSCHR19LRC_LRC_T_CTG3_1	NDUFA3
ENSG00000278756	9	MIR6722
ENSG00000275006	17	AC233968.2
ENSG00000202490	14	RNU6-597P
ENSG00000207711	19	MIR525
ENSG00000284360	12	MIR6125
ENSG00000200550	2	RNU6-137P
ENSG00000201447	X	RNA5SP509
ENSG00000208005	X	MIR503
ENSG00000276917	2	MIR8080
ENSG00000199378	5	AC113407.1
ENSG00000222792	3	RNU6-860P
ENSG00000284425	12	MIR8072
ENSG00000216056	X	MIR891A
ENSG00000265559	11	RN7SL652P
ENSG00000221676	9	RNU6ATAC
ENSG00000283506	2	MIR7157
ENSG00000221705	X	SNORA11E
ENSG00000284122	14	MIR6717
ENSG00000202081	15	RNU6-1280P
ENSG00000252339	16	RNU6-1061P
ENSG00000252431	6	RNU6-1247P
ENSG00000208023	22	MIR185
ENSG00000207976	10	MIR607
ENSG00000260682	16	RN7SKP176
ENSG00000199088	14	MIR379
ENSG00000206811	16	SNORA10
ENSG00000274293	12	AC079460.1
ENSG00000266750	6	MIR4645
ENSG00000251729	15	RNA5SP401
ENSG00000211997	11	MIR708
ENSG00000207743	14	MIR495
ENSG00000201558	1	RNVU1-6
ENSG00000201036	14	AL132709.2
ENSG00000207769	6	MIR586
ENSG00000202392	4	RN7SKP292
ENSG00000283857	14	MIR1247
ENSG00000221639	4	AC053527.1
ENSG00000200443	22	RNU6-1066P
ENSG00000200941	9	RNU6-694P
ENSG00000277243	15	MIR3118-3
ENSG00000221065	15	MIR1233-2
ENSG00000276580	8	MIR8055
ENSG00000201725	1	RNU6-304P
ENSG00000265889	17	AC233699.2
ENSG00000207600	8	MIR598
ENSG00000284190	17	MIR21
ENSG00000207167	16	RNU6-1340P
ENSG00000239118	16	MIR1972-2
ENSG00000206875	6	RNU6-761P
ENSG00000264618	X	RN7SL732P
ENSG00000199153	8	MIR30D
ENSG00000238517	19	MIR1270
ENSG00000252840	1	AL365436.3
ENSG00000221540	17	MIR1180
ENSG00000278702	1	AL356362.1
ENSG00000252255	11	RNU2-35P
ENSG00000201896	8	RN7SKP153
ENSG00000275652	19	MIR6796
ENSG00000199347	1	RNU5E-1
ENSG00000252583	X	MIR514B
ENSG00000273500	17	MIR6129
ENSG00000207073	19	AC010619.1
ENSG00000243075	12	RN7SL519P
ENSG00000211580	19	MIR769
ENSG00000222160	12	AC007540.1
ENSG00000274941	CHR_HSCHR19LRC_LRC_I_CTG3_1	CNOT3
ENSG00000202227	2	RNU6-282P
ENSG00000243548	4	RN7SL101P
ENSG00000200444	15	RNU6-1339P
ENSG00000221025	17	MIR1250
ENSG00000212036	2	MIR548BA
ENSG00000212172	12	RNU1-149P
ENSG00000275931	CHR_HSCHR19LRC_PGF2_CTG3_1	GP6
ENSG00000222361	15	RNU6-1186P
ENSG00000240641	6	RN7SL580P
ENSG00000207291	X	RNU6-30P
ENSG00000199856	18	AP005900.1
ENSG00000207605	3	MIR191
ENSG00000266226	19	MIR4323
ENSG00000251823	1	RNA5SP162
ENSG00000277846	11	SNORD30
ENSG00000201098	7	RNY1
ENSG00000263981	4	MIR5705
ENSG00000252510	1	RNA5SP55
ENSG00000212493	3	SNORD19
ENSG00000284394	19	MIR4750
ENSG00000280680	CHR_HG1832_PATCH	HHAT
ENSG00000207367	X	RNU6-29P
ENSG00000263597	5	MIR3936
ENSG00000195401	10	AL513534.1
ENSG00000241604	19	RN7SL340P
ENSG00000266649	2	MIR3126
ENSG00000206949	8	RNU6-1324P
ENSG00000266776	6	MIR4646
ENSG00000277721	X	AL022165.1
ENSG00000275355	18	AC027575.2
ENSG00000206730	17	RNU6-468P
ENSG00000201527	20	RNA5SP478
ENSG00000284031	22	MIR4761
ENSG00000283461	7	MIR550B2
ENSG00000244692	3	RN7SL724P
ENSG00000207499	6	AL109920.2
ENSG00000206699	8	AC026827.1
ENSG00000263968	16	RN7SL381P
ENSG00000264512	8	MIR5692A2
ENSG00000223327	8	RNU2-71P
ENSG00000264030	2	RN7SL66P
ENSG00000207575	22	MIR649
ENSG00000201549	12	AC006517.2
ENSG00000200338	4	RNU1-49P
ENSG00000252996	12	RNU6-1315P
ENSG00000276158	X	MIR1264
ENSG00000238709	X	RNU7-56P
ENSG00000264141	22	MIR3928
ENSG00000274309	20	SNORA71E
ENSG00000207381	12	RNU6-950P
ENSG00000252795	13	RNU6-56P
ENSG00000207871	X	MIR513B
ENSG00000266415	5	MIR4636
ENSG00000278040	9	AL158825.3
ENSG00000201028	1	RNU6-151P
ENSG00000201548	10	AL139406.1
ENSG00000253099	11	RNU2-60P
ENSG00000201922	3	RNU1-43P
ENSG00000242216	18	RN7SL97P
ENSG00000277582	15	RN7SL428P
ENSG00000207728	5	MIR449B
ENSG00000283452	18	AC015819.4
ENSG00000200827	18	RNU6-324P
ENSG00000240961	6	RN7SL415P
ENSG00000252034	18	RNY4P37
ENSG00000265105	CHR_HSCHR6_MHC_QBL_CTG1	AL844851.3
ENSG00000207137	15	SNORD116-13
ENSG00000207127	17	AC091180.2
ENSG00000283733	5	MIR146A
ENSG00000212610	1	AC092015.1
ENSG00000201843	9	AL772161.2
ENSG00000207187	2	SNORA10B
ENSG00000277986	2	AC073476.4
ENSG00000252148	2	RNU6-1206P
ENSG00000199845	12	RNA5SP375
ENSG00000238713	4	AC096757.1
ENSG00000252416	10	RNU6-885P
ENSG00000264814	6	MIR1273C
ENSG00000202103	6	RNU4-12P
ENSG00000276229	2	AC012354.6
ENSG00000212135	11	SNORD67
ENSG00000264494	7	MIR4650-2
ENSG00000251799	4	AC022483.2
ENSG00000222177	16	RNU4-30P
ENSG00000252509	8	RNA5SP271
ENSG00000238694	4	AC020589.1
ENSG00000272412	11	RN7SL778P
ENSG00000207168	7	SNORA15
ENSG00000284032	7	MIR29A
ENSG00000208797	4	SNORD73A
ENSG00000206625	15	RNU6-1
ENSG00000238783	15	AC019322.2
ENSG00000276363	CHR_HSCHR19LRC_LRC_J_CTG3_1	VSTM1
ENSG00000199475	7	RN7SKP104
ENSG00000207139	1	AL365258.1
ENSG00000206604	3	RNU6-425P
ENSG00000264788	8	MIR3148
ENSG00000274323	CHR_HSCHR19LRC_COX1_CTG3_1	CU457734.1
ENSG00000221806	20	RNU6ATAC34P
ENSG00000200906	X	RNU6-854P
ENSG00000222375	16	RN7SKP127
ENSG00000201165	7	RNU6-1229P
ENSG00000201347	1	RNA5SP69
ENSG00000264408	8	MIR4470
ENSG00000253060	1	AL135931.1
ENSG00000199571	12	AC121336.1
ENSG00000221601	5	RNU4ATAC2P
ENSG00000206862	X	AC007021.1
ENSG00000222451	10	RN7SKP143
ENSG00000254324	8	MIR151A
ENSG00000252065	14	RNU6-864P
ENSG00000252760	1	RNA5SP54
ENSG00000252922	11	RNU6-365P
ENSG00000277553	7	AC004080.11
ENSG00000207130	3	AC079945.1
ENSG00000207864	9	MIR27B
ENSG00000252290	1	AL442065.1
ENSG00000200033	1	RNU6-403P
ENSG00000283432	4	AC108867.1
ENSG00000278822	11	AL049692.6
ENSG00000251858	14	AL121821.1
ENSG00000278218	X	AC003657.2
ENSG00000265872	9	MIR3689A
ENSG00000252222	1	RNU7-13P
ENSG00000252358	8	RN7SKP135
ENSG00000278421	X	AC004386.7
ENSG00000280706	CHR_HG2030_PATCH	REXO4
ENSG00000273839	CHR_HSCHR15_4_CTG8	AC243660.1
ENSG00000199859	4	RNU6-582P
ENSG00000275110	X	AL928646.1
ENSG00000222383	6	RNA5SP203
ENSG00000266870	CHR_HSCHR6_MHC_SSTO_CTG1	BX119924.2
ENSG00000200554	9	RNU6-1020P
ENSG00000263989	20	RN7SL615P
ENSG00000242860	1	RN7SL180P
ENSG00000222122	X	RNU6-648P
ENSG00000200560	17	RNU6-288P
ENSG00000280514	CHR_HSCHR5_2_CTG1_1	AC142525.5
ENSG00000201813	2	RNU6-915P
ENSG00000275656	22	AL008723.3
ENSG00000206871	8	RNU6-533P
ENSG00000209480	22	SNORD83B
ENSG00000212319	3	AC084198.2
ENSG00000222404	2	RN7SKP281
ENSG00000238963	6	AL121952.2
ENSG00000196274	15	AC027243.1
ENSG00000244391	12	RN7SL330P
ENSG00000207109	3	SNORD38C
ENSG00000201300	15	SNORD115-27
ENSG00000278793	GL000213.1	BX072566.2
ENSG00000202035	7	AC005049.1
ENSG00000252707	17	RNU11-2P
ENSG00000212136	21	RNU6-696P
ENSG00000222107	5	RN7SKP117
ENSG00000251993	7	RNA5SP227
ENSG00000207122	X	RNU6-591P
ENSG00000274799	5	AC091948.1
ENSG00000275123	CHR_HSCHR19LRC_LRC_T_CTG3_1	TARM1
ENSG00000207243	16	Z84721.1
ENSG00000274011	9	AL137073.1
ENSG00000201386	6	RNU6-1163P
ENSG00000274617	22	AL021937.6
ENSG00000278701	17	AC008088.2
ENSG00000206939	3	RNU6-281P
ENSG00000201613	6	RNU6-200P
ENSG00000206768	14	AL391262.1
ENSG00000242436	19	RN7SL789P
ENSG00000207483	10	RNU6-1067P
ENSG00000251773	3	RNU6-1129P
ENSG00000251935	2	RN7SKP179
ENSG00000265409	CHR_HSCHR6_MHC_COX_CTG1	AL662834.3
ENSG00000243366	13	RN7SL60P
ENSG00000201823	6	SNORD48
ENSG00000276823	X	AF196972.2
ENSG00000278596	1	MIR6077
ENSG00000243546	14	RN7SL108P
ENSG00000239471	15	RN7SL584P
ENSG00000199994	3	RNA5SP145
ENSG00000274459	12	AC015550.1
ENSG00000283799	1	MIR1182
ENSG00000281430	CHR_HG2030_PATCH	LCN1P2
ENSG00000200403	1	RNU6-1099P
ENSG00000200393	19	RNU6-698P
ENSG00000274547	2	AC012354.4
ENSG00000263410	X	RN7SL460P
ENSG00000200651	17	AC111170.1
ENSG00000266886	CHR_HSCHR6_MHC_QBL_CTG1	AL845443.4
ENSG00000264572	10	MIR4296
ENSG00000253072	11	AC104361.1
ENSG00000243029	2	RN7SL635P
ENSG00000284108	11	MIR611
ENSG00000222499	3	RN7SKP177
ENSG00000202167	1	RNU1-114P
ENSG00000252965	3	AC016959.1
ENSG00000242281	9	RN7SL159P
ENSG00000222743	5	RNU6-1190P
ENSG00000252401	10	RNU4ATAC6P
ENSG00000277845	CHR_HSCHR8_3_CTG7	RN7SKP175
ENSG00000265874	11	MIR4489
ENSG00000277707	CHR_HSCHR19LRC_PGF1_CTG3_1	AC012314.15
ENSG00000206852	8	RNU6-895P
ENSG00000207069	2	AC013267.2
ENSG00000275022	11	MIR6753
ENSG00000278226	4	AC022483.3
ENSG00000222213	5	RNU6-588P
ENSG00000275133	CHR_HSCHR6_MHC_QBL_CTG1	AL845439.1
ENSG00000220988	19	SNORD88C
ENSG00000223220	8	AC020987.1
ENSG00000264387	13	MIR5007
ENSG00000200630	8	AC015641.1
ENSG00000265754	CHR_HSCHR6_MHC_MCF_CTG1	SNORA38
ENSG00000278519	CHR_HSCHR19LRC_LRC_I_CTG3_1	MBOAT7
ENSG00000223152	1	RNU4-88P
ENSG00000201216	8	AP003354.1
ENSG00000202478	13	RNU6-81P
ENSG00000276895	CHR_HSCHRX_1_CTG3	AL732314.2
ENSG00000283783	13	MIR622
ENSG00000252362	4	RNU6-506P
ENSG00000201031	3	AC021059.1
ENSG00000276664	22	AC004542.5
ENSG00000266589	15	MIR4512
ENSG00000251919	11	RNU7-105P
ENSG00000207021	17	AC137896.1
ENSG00000277916	1	AL357500.2
ENSG00000199404	7	RNA5SP250
ENSG00000199420	4	RN7SKP170
ENSG00000274716	5	AC136628.5
ENSG00000265444	17	MIR4733
ENSG00000202071	3	AC106827.1
ENSG00000202445	9	RNU6-669P
ENSG00000206840	10	AL117337.1
ENSG00000274747	17	RN7SL627P
ENSG00000202361	17	AC060798.1
ENSG00000274054	17	MIR4727
ENSG00000239953	6	RN7SL273P
ENSG00000222496	2	RN7SKP200
ENSG00000207205	1	RNVU1-15
ENSG00000200714	8	AC100814.1
ENSG00000283218	18	MIR302F
ENSG00000202189	9	SNORA30B
ENSG00000277051	20	AL008726.2
ENSG00000253088	7	AC005631.1
ENSG00000207433	9	RNU6-246P
ENSG00000243539	1	RN7SL649P
ENSG00000207585	19	MIR181D
ENSG00000277941	22	Z99774.4
ENSG00000200650	2	RNA5SP114
ENSG00000212199	2	RNU6-127P
ENSG00000243015	12	RN7SL737P
ENSG00000241406	13	RN7SL515P
ENSG00000276134	CHR_HSCHR5_4_CTG1_1	RN7SKP117
ENSG00000266559	19	MIR4530
ENSG00000244112	12	RN7SL508P
ENSG00000201006	2	AC018866.1
ENSG00000238761	1	AL591521.1
ENSG00000223306	1	RNU6-1304P
ENSG00000276722	20	AL132655.6
ENSG00000212387	4	RNU6-1055P
ENSG00000275981	3	AC018816.2
ENSG00000207598	20	MIR124-3
ENSG00000252739	4	RNU7-151P
ENSG00000242341	5	RN7SL646P
ENSG00000241159	2	RN7SL160P
ENSG00000212415	15	AC018515.1
ENSG00000283575	1	AL358434.1
ENSG00000271982	18	SNORD58B
ENSG00000206999	1	RNU6-622P
ENSG00000264534	3	MIR378B
ENSG00000202240	18	RNU6-737P
ENSG00000238750	7	RNU7-27P
ENSG00000251803	10	AL158164.1
ENSG00000275669	11	MIR6744
ENSG00000278103	3	MIR8060
ENSG00000201815	8	RNU6-526P
ENSG00000274206	2	AC092636.1
ENSG00000252934	2	RNU7-172P
ENSG00000199701	8	AP005660.1
ENSG00000264773	1	MIR4420
ENSG00000222727	4	RNU4-64P
ENSG00000283207	4	MIR1255B1
ENSG00000274051	17	AC005837.3
ENSG00000252681	Y	RNU1-97P
ENSG00000284525	11	MIR4687
ENSG00000240306	9	RN7SL100P
ENSG00000207093	15	SNORD116-8
ENSG00000222405	12	RNU4-65P
ENSG00000266270	4	AC098818.3
ENSG00000221680	1	MIR1278
ENSG00000222701	16	AC116348.2
ENSG00000263890	12	MIR4303
ENSG00000238959	3	RNU7-19P
ENSG00000200279	14	SNORD114-10
ENSG00000202175	3	RNA5SP128
ENSG00000199036	6	MIR219A1
ENSG00000252076	10	RN7SKP196
ENSG00000277942	13	MIR8075
ENSG00000199849	1	RNU5F-6P
ENSG00000207420	5	AC091934.1
ENSG00000266052	13	MIR4500
ENSG00000222114	X	RNU6-985P
ENSG00000252428	9	RNA5SP285
ENSG00000265735	9	RN7SL5P
ENSG00000206649	8	AC104212.1
ENSG00000199177	9	MIR31
ENSG00000207742	14	MIR487A
ENSG00000265165	14	MIR4307
ENSG00000199879	1	RNVU1-22
ENSG00000223202	11	RN7SKP297
ENSG00000266855	9	MIR3910-1
ENSG00000199963	1	RNU6-605P
ENSG00000212215	5	RNU6-913P
ENSG00000253043	8	RNU7-181P
ENSG00000222490	3	RNU6-712P
ENSG00000238575	18	AP005136.1
ENSG00000208001	14	MIR431
ENSG00000264722	16	MIR3670-2
ENSG00000264823	9	MIR3154
ENSG00000274046	21	CU634019.1
ENSG00000253040	18	RNA5SP454
ENSG00000277732	8	AC015599.2
ENSG00000252376	15	RNA5SP395
ENSG00000216099	14	MIR889
ENSG00000206676	15	AC069483.1
ENSG00000223225	4	RNU6-1054P
ENSG00000202344	2	RN7SKP208
ENSG00000221466	X	MIR548AJ2
ENSG00000266426	16	MIR4719
ENSG00000201634	15	SNORD115-48
ENSG00000211583	X	MIR767
ENSG00000266291	16	MIR3180-3
ENSG00000199629	7	RNU1-14P
ENSG00000253022	1	RNU6-731P
ENSG00000207022	1	AL162740.1
ENSG00000273573	1	AL590998.1
ENSG00000283774	17	MIR632
ENSG00000201825	18	RNU6-1131P
ENSG00000251893	12	AC078820.1
ENSG00000199831	1	RN7SKP291
ENSG00000283845	16	MIR4721
ENSG00000284453	18	MIR1-2
ENSG00000272025	2	AC007318.2
ENSG00000283418	3	AC024933.2
ENSG00000281244	CHR_HG2030_PATCH	ADAMTS13
ENSG00000263456	16	MIR5189
ENSG00000277510	19	AC010271.3
ENSG00000284331	18	MIR4741
ENSG00000242118	2	RN7SL201P
ENSG00000201342	3	RNU4-38P
ENSG00000199319	3	RN7SKP25
ENSG00000207414	12	RNU6-768P
ENSG00000264468	17	MIR4520-1
ENSG00000277759	19	MIR6719
ENSG00000206828	1	RNVU1-30
ENSG00000277086	CHR_HSCHR15_4_CTG8	MTMR10
ENSG00000251924	16	RNA5SP408
ENSG00000251892	8	RNU7-84P
ENSG00000201371	16	AC016597.1
ENSG00000281243	CHR_HG2030_PATCH	SNORD36B
ENSG00000284027	17	MIR497
ENSG00000199017	20	MIR1-1
ENSG00000202429	2	RNU4-48P
ENSG00000277005	CHR_HSCHR17_7_CTG4	AC006449.4
ENSG00000200217	10	RNU6-839P
ENSG00000252796	4	RNU7-11P
ENSG00000221303	14	SNORA79
ENSG00000283950	19	MIR6791
ENSG00000252945	14	AL133485.1
ENSG00000201672	14	SNORD113-4
ENSG00000283513	20	MIR941-3
ENSG00000221803	19	SNORD23
ENSG00000277533	19	MIR8077
ENSG00000252897	2	RNU6-685P
ENSG00000281393	CHR_HG2030_PATCH	AL772161.5
ENSG00000221039	22	MIR1286
ENSG00000201967	19	RN7SKP22
ENSG00000199773	5	RNU1-76P
